trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4162,False,"{'a': 0.0015, 'e': 0.0019469329320519334}",20,14,10.959668721066992,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4163,False,"{'a': 0.0015, 'e': 0.0019440147218586648}",25,18,12.32026270697363,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4164,False,"{'a': 0.0015, 'e': 0.0019411008856993405}",20,5,29.050627085679135,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4165,False,"{'a': 0.0015, 'e': 0.0019381914170178277}",25,15,18.778170527617938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4166,False,"{'a': 0.0015, 'e': 0.0019352863092678212}",20,3,26.420676982209592,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4167,False,"{'a': 0.0015, 'e': 0.0019323855559128268}",20,12,14.062552057878008,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4168,False,"{'a': 0.0015, 'e': 0.0019294891504261502}",25,17,17.47852988779408,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4169,False,"{'a': 0.0015, 'e': 0.0019265970862908743}",20,6,23.163326863313742,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4170,False,"{'a': 0.0015, 'e': 0.0019237093569998555}",25,11,22.20554813789003,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4171,False,"{'a': 0.0015, 'e': 0.0019208259560557013}",20,13,12.802987015941106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4172,False,"{'a': 0.0015, 'e': 0.0019179468769707586}",20,16,9.64494854903596,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4173,False,"{'a': 0.0015, 'e': 0.0019150721132670983}",25,19,12.68679360625276,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4174,False,"{'a': 0.0015, 'e': 0.0019122016584765006}",25,5,33.929994514486204,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4175,False,"{'a': 0.0015, 'e': 0.0019093355061404415}",20,5,25.040911443680812,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4176,False,"{'a': 0.0015, 'e': 0.0019064736498100765}",20,14,12.877796833685895,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4177,False,"{'a': 0.0015, 'e': 0.001903616083046228}",25,7,32.2999082969049,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4178,False,"{'a': 0.0015, 'e': 0.0019007627994193693}",20,9,17.866835912539734,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4179,False,"{'a': 0.0015, 'e': 0.001897913792509611}",25,17,17.75795595897489,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4180,False,"{'a': 0.0015, 'e': 0.001895069055906687}",20,13,11.832068028469246,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4181,False,"{'a': 0.0015, 'e': 0.001892228583209938}",20,11,19.44330613355918,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4182,False,"{'a': 0.0015, 'e': 0.0018893923680282996}",20,8,21.034839568291996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4183,False,"{'a': 0.0015, 'e': 0.0018865604039802878}",20,11,15.092491880855315,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4184,False,"{'a': 0.0015, 'e': 0.0018837326846939794}",25,11,25.316756307493435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4185,False,"{'a': 0.0015, 'e': 0.0018809092038070063}",20,15,11.181064381305907,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4186,False,"{'a': 0.0015, 'e': 0.0018780899549665352}",20,16,7.563885047072391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4187,False,"{'a': 0.0015, 'e': 0.001875274931829255}",25,15,15.828634094680766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4188,False,"{'a': 0.0015, 'e': 0.0018724641280613626}",25,3,31.570349102764055,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4189,False,"{'a': 0.0015, 'e': 0.0018696575373385483}",35,19,28.593468436135748,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4190,False,"{'a': 0.0015, 'e': 0.0018668551533459817}",25,1,36.76971385120925,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
4191,False,"{'a': 0.0015, 'e': 0.0018640569697782978}",30,8,37.54907771751046,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4192,False,"{'a': 0.0015, 'e': 0.0018612629803395823}",25,15,19.037707898024504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4193,False,"{'a': 0.0015, 'e': 0.0018584731787433578}",20,14,8.99609188663433,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4194,False,"{'a': 0.0015, 'e': 0.0018556875587125694}",20,10,16.363655617953064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4195,False,"{'a': 0.0015, 'e': 0.001852906113979571}",25,9,25.53609465779232,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4196,False,"{'a': 0.0015, 'e': 0.001850128838286111}",20,11,15.63691886095981,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4197,False,"{'a': 0.0015, 'e': 0.0018473557253833174}",20,0,27.676322880744088,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4198,False,"{'a': 0.0015, 'e': 0.0018445867690316854}",20,8,20.91896639693245,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4199,False,"{'a': 0.0015, 'e': 0.0018418219630010634}",20,11,14.053553250193024,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4200,False,"{'a': 0.0015, 'e': 0.0018390613010706336}",20,8,23.90499165743141,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4201,False,"{'a': 0.0015, 'e': 0.0018363047770289071}",25,11,23.9681336057163,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4202,False,"{'a': 0.0015, 'e': 0.0018335523846737037}",25,0,36.71632195237797,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4203,False,"{'a': 0.0015, 'e': 0.001830804117812139}",20,16,8.510222688388174,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4204,False,"{'a': 0.0015, 'e': 0.0018280599702606122}",20,15,8.44987656576223,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4205,False,"{'a': 0.0015, 'e': 0.0018253199358447894}",25,14,23.439043416265193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4206,False,"{'a': 0.0015, 'e': 0.0018225840083995924}",25,4,36.07630709603167,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4207,False,"{'a': 0.0015, 'e': 0.001819852181769183}",25,10,28.938363677905244,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4208,False,"{'a': 0.0015, 'e': 0.0018171244498069506}",20,0,27.59367244545482,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4209,False,"{'a': 0.0015, 'e': 0.0018144008063754968}",25,8,30.44265337311897,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4210,False,"{'a': 0.0015, 'e': 0.0018116812453466229}",25,11,15.953915096396154,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4211,False,"{'a': 0.0015, 'e': 0.0018089657606013153}",35,15,31.130795463012735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4212,False,"{'a': 0.0015, 'e': 0.001806254346029732}",25,19,7.718801004004604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4213,False,"{'a': 0.0015, 'e': 0.0018035469955311894}",20,13,12.369678441101312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4214,False,"{'a': 0.0015, 'e': 0.0018008437030141477}",25,18,13.884684171271905,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4215,False,"{'a': 0.0015, 'e': 0.001798144462396199}",25,14,19.62594707851845,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4216,False,"{'a': 0.0015, 'e': 0.0017954492676040476}",25,6,37.16159567458202,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4217,False,"{'a': 0.0015, 'e': 0.001792758112573506}",25,7,21.714179782512428,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4218,False,"{'a': 0.0015, 'e': 0.001790070991249474}",20,14,10.98947616818636,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4219,False,"{'a': 0.0015, 'e': 0.0017873878975859273}",30,12,31.697745309488557,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4220,False,"{'a': 0.0015, 'e': 0.0017847088255459043}",20,6,22.189947435564665,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4221,False,"{'a': 0.0015, 'e': 0.0017820337691014916}",30,13,34.66367464882953,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4222,False,"{'a': 0.0015, 'e': 0.0017793627222338114}",20,2,28.19009108566953,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4223,False,"{'a': 0.0015, 'e': 0.0017766956789330068}",20,15,7.90082262507405,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4224,False,"{'a': 0.0015, 'e': 0.0017740326331982293}",30,12,29.76197110190945,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
